ticker,name,close,volume,market_cap_basic,premarket_change,premarket_change_abs,premarket_volume
NASDAQ:MHUA,MHUA,1.03,19357,26219268.0,118.44660194174756,1.22,16920446
NASDAQ:PMEC,PMEC,0.5262,12767859,20021900.0,58.68491068034967,0.30879999999999996,9833088
NASDAQ:NUZE,NUZE,3.7,3129951,8833506.0,55.405405405405396,2.05,2901745
NASDAQ:NCNC,NCNC,0.153,841736,20720859.0,39.34640522875817,0.060200000000000004,3080644
NASDAQ:POWL,POWL,133.25,565934,1597379386.0,24.953095684803,33.25,8018
NASDAQ:FFIE,FFIE,0.316,23769738,139523893.0,21.67721518987342,0.0685,30030890
NASDAQ:DALN,DALN,3.26,117462,17449117.999999996,19.938650306748478,0.6500000000000004,29491
NASDAQ:WGS,WGS,30.13,715813,787925557.0,19.48224361101892,5.870000000000001,4578
NASDAQ:VCNX,VCNX,8.06,223800,12769459.0,19.47890818858561,1.5700000000000003,14699
NASDAQ:NVVE,NVVE,0.5739,122833,3745975.0,18.94058198292386,0.10870000000000002,2968
NASDAQ:NRXP,NRXP,2.26,58785,24183377.0,18.14159292035399,0.41000000000000014,115
NASDAQ:COCH,COCH,1.87,20000,36651969.0,17.647058823529417,0.33000000000000007,700
NASDAQ:TLN,TLN,110.86,1057096,5636250000.0,17.255998556738238,19.13000000000001,9019
NASDAQ:XPON,XPON,0.4616,84763,3436730.0,16.68110918544193,0.07699999999999996,13627
NASDAQ:DUO,DUO,0.43,257008,36345319.0,16.139534883720934,0.06940000000000002,20625
NASDAQ:NCI,NCI,0.5165,43203,10495300.000000002,16.069699903194596,0.08300000000000007,700
NASDAQ:BNZI,BNZI,0.1441,1067335,3870724.0,15.82234559333795,0.022799999999999987,47520
NASDAQ:GLMD,GLMD,0.3088,33393,1855780.9999999998,15.090673575129523,0.046599999999999975,16770
NASDAQ:AMDL,AMDL,11.51,4953385,,14.76976542137273,1.700000000000001,327618
NYSE:VST,VST,69.0,6362514,23974739409.999996,14.492753623188406,10.0,29074
OTC:HTHIF,HTHIF,20.001,3456,92725905594.7235,14.244287785610721,2.849,200
NASDAQ:CEG,CEG,168.69,3517101,53176964709.0,13.521844804078489,22.810000000000002,12601
NASDAQ:PITA,PITA,4.3,279613,56963000.0,13.488372093023257,0.5800000000000001,507501
NASDAQ:NVDL,NVDL,47.1,33544542,,13.26963906581741,6.25,1143167
AMEX:NVDX,NVDX,11.43,11113214,,13.21084864391951,1.5099999999999998,318742
NASDAQ:EKSO,EKSO,1.06,711714,19550831.0,13.20754716981131,0.1399999999999999,500
NASDAQ:NVDU,NVDU,75.46,1178375,,13.146037635833558,9.920000000000002,26333
NASDAQ:CAPR,CAPR,4.08,335160,130475400.00000001,12.745098039215675,0.5199999999999996,300
NASDAQ:ISPC,ISPC,0.271,617460,3543358.0,12.730627306273053,0.034499999999999975,4403
NASDAQ:EVOK,EVOK,0.418,112472,3593716.0000000005,12.416267942583733,0.0519,3131
NASDAQ:LOBO,LOBO,2.6334,9337,21541200.0,12.402217665375561,0.3266,2302
NASDAQ:CHSN,CHSN,1.64,54994,20319600.0,12.195121951219525,0.20000000000000018,4000
NASDAQ:BIMI,BIMI,0.391,3208510,4531522.0,12.122762148337594,0.0474,4792353
NASDAQ:DPRO,DPRO,0.1739,780893,12398768.336734693,11.730879815986201,0.0204,4673
AMEX:SOXL,SOXL,37.24,108585525,,11.43931256713211,4.259999999999998,3905717
NASDAQ:PRST,PRST,0.035,64235325,5560811.0,11.428571428571418,0.003999999999999997,2739898
NASDAQ:KOD,KOD,2.88,321394,151300652.00000003,11.111111111111121,0.3200000000000003,4887
NASDAQ:SGD,SGD,0.292951,180495,4697949.999999999,10.87178401848772,0.03184899999999996,71978
NASDAQ:CAUD,CAUD,0.415,149658,6732333.0,10.843373493975914,0.04500000000000004,10260
NASDAQ:ABVE,ABVE,1.265,107251,35172828.00000001,10.671936758893281,0.135,6560
NASDAQ:TELA,TELA,4.43,142252,109223288.0,10.609480812641099,0.47000000000000064,12700
AMEX:USD,USD,102.07,1052822,,10.51239345547174,10.730000000000004,4761
NASDAQ:MTCH,MTCH,33.69,4331615,8950358642.999998,10.121697833184932,3.4100000000000037,15173
NASDAQ:PHAR,PHAR,7.82,67688,569985723.227,9.974424552429658,0.7799999999999994,248
NASDAQ:TC,TC,1.7199,9930,3069563.0,9.890109890109885,0.17009999999999992,1615
NASDAQ:SHPH,SHPH,0.3979,43923,6682690.0,9.323950741392316,0.03710000000000002,2051
NASDAQ:CONN,CONN,0.3167,530535,7881389.0,9.062203978528578,0.028700000000000003,8996
NASDAQ:BNRG,BNRG,0.78,140771,1921407.0,8.974358974358967,0.06999999999999995,1000
NYSE:JCI,JCI,69.03,4127020,46503821504.0,8.822251195132557,6.090000000000003,82065
NASDAQ:DBVT,DBVT,0.9471,41640,98664295.2212,8.753035582303871,0.08289999999999997,2800
