ticker,name,close,volume,market_cap_basic,premarket_change,premarket_change_abs,premarket_volume
NASDAQ:VSEE,VSEE,2.43,2898374,35703555.0,146.91358024691357,3.57,1204539
NASDAQ:MKDW,MKDW,2.08,518658,7988880.000000001,97.1153846153846,2.0199999999999996,2017104
NASDAQ:AKAN,AKAN,1.45,56209,2779185.0,35.862068965517246,0.52,4029886
NASDAQ:MBRX,MBRX,2.27,132255,5814666.0,30.396475770925107,0.69,600
NASDAQ:XCUR,XCUR,0.4949,5038055,4281452.999999999,28.04606991311377,0.13880000000000003,1163719
NASDAQ:ADGM,ADGM,9.05,127632,68205471.0,21.54696132596684,1.9499999999999993,18963
AMEX:OSTX,OSTX,2.51,416598,63265099.99999999,21.513944223107572,0.54,191652
NASDAQ:VCNX,VCNX,4.86,648596,7699697.999999999,20.370370370370356,0.9899999999999993,8329
NASDAQ:FTEL,FTEL,19.46,114651,216395000.0,18.139773895169565,3.5299999999999976,100
NASDAQ:VERO,VERO,0.678,103745,4308846.0,13.23008849557522,0.0897,268
AMEX:UVIX,UVIX,7.04,14883124,,13.210227272727268,0.9299999999999997,138800
NASDAQ:AGBA,AGBA,1.99,247196,162663705.0,13.06532663316583,0.26,31468
NASDAQ:IAS,IAS,9.92,1632970,1592591560.0000002,13.004032258064527,1.290000000000001,1093
NASDAQ:TBIO,TBIO,4.22,242483,7101390.0,12.79620853080569,0.54,2993
NASDAQ:CNTM,CNTM,0.8401,299377,7936630.000000001,10.415426734912515,0.08750000000000002,3792
NASDAQ:BJDX,BJDX,0.5,782109,281980.0,10.280000000000001,0.0514,63931
NASDAQ:DASH,DASH,108.2,7965346,44244539145.00001,10.25878003696857,11.099999999999994,28899
AMEX:UVXY,UVXY,28.79,17854854,,10.003473428273715,2.8800000000000026,71241
NASDAQ:WISA,WISA,2.06,317680,10138321.000000002,8.73786407766991,0.18000000000000016,2579
NASDAQ:ARDX,ARDX,5.5,7505064,1286871178.0,8.545454545454541,0.46999999999999975,34044
NASDAQ:LITM,LITM,0.5356,131773,10883299.999999998,8.289768483943242,0.044399999999999995,1230
NASDAQ:BNZI,BNZI,0.1274,541564,3422139.0,7.849293563579263,0.009999999999999981,428
NYSE:LEV,LEV,0.6153,785457,139191655.0,7.752315943442237,0.047700000000000076,100
AMEX:SOXS,SOXS,28.46,77706697,,7.519325368938863,2.1400000000000006,2550352
NASDAQ:SMFL,SMFL,1.75,183466,457863.00000000006,7.428571428571422,0.1299999999999999,2743
AMEX:TECS,TECS,6.99,15879281,,7.29613733905579,0.5099999999999998,27413
NYSE:NET,NET,74.4,5095901,25281138410.0,7.244623655913979,5.390000000000001,16278
AMEX:VIXY,VIXY,12.48,8725748,,7.2115384615384635,0.9000000000000004,43088
NASDAQ:AMZD,AMZD,14.2,279450,,7.183098591549306,1.0200000000000014,3126
AMEX:EWV,EWV,10.87,34512,,7.175712971481152,0.7800000000000011,813
NASDAQ:BROG,BROG,0.8911,12497,78448215.0,6.733251038042861,0.05999999999999994,300
NASDAQ:KRNL,KRNL,11.25,39687,91438211.0,6.666666666666667,0.75,100
NASDAQ:VANI,VANI,1.21,68125,66523945.99999999,6.61157024793389,0.08000000000000007,100
AMEX:NVDQ,NVDQ,6.73,26060683,,6.537890044576515,0.4399999999999995,587588
NASDAQ:NVD,NVD,2.47,80542226,,6.477732793522255,0.1599999999999997,1636462
AMEX:VXX,VXX,50.51,10034730,,6.434369431795685,3.25,21113
AMEX:PW,PW,1.26,12348,4270973.0,6.349206349206354,0.08000000000000007,190
NASDAQ:VRAX,VRAX,1.13,356801,2668950.0,6.194690265486732,0.07000000000000006,23211
AMEX:FNGD,FNGD,26.6,3291193,,6.015037593984954,1.5999999999999979,11312
NYSE:BFLY,BFLY,1.01,1497480,212814928.0,5.940594059405946,0.06000000000000005,117
AMEX:SRTY,SRTY,22.36,3636562,,5.9033989266547415,1.3200000000000003,24146
NASDAQ:CETX,CETX,0.1778,778843,3014112.9999999995,5.736782902137225,0.010199999999999987,2480
NASDAQ:TIGO,TIGO,24.61,83557,4181271513.744,5.4449410808614385,1.3399999999999999,2810
NASDAQ:ONCO,ONCO,0.1488,803933,3322924.0,5.443548387096791,0.008100000000000024,7236
AMEX:TZA,TZA,14.91,50543854,,5.2313883299798745,0.7799999999999994,452526
NYSE:EXK,EXK,3.64,13626136,874843023.1666666,5.219780219780218,0.18999999999999995,18489
NASDAQ:CREG,CREG,0.861,261927,7221716.0,5.087108013937289,0.04380000000000006,100
NASDAQ:RVNC,RVNC,3.37,2074917,351991438.0,5.044510385756674,0.16999999999999993,2200
NYSE:TWLO,TWLO,56.27,3408874,9631833757.0,5.0293229074106955,2.8299999999999983,1901
NASDAQ:ANY,ANY,0.9999,356226,20547723.0,5.010501050105014,0.05010000000000003,330
